,Emotions,Path
47,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_gin_angry.wav
48,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_keen_angry.wav
49,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_chair_angry.wav
50,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_get_angry.wav
51,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_cheek_angry.wav
52,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_cool_angry.wav
53,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_lot_angry.wav
54,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_bought_angry.wav
55,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_live_angry.wav
56,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_limb_angry.wav
57,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_king_angry.wav
58,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_match_angry.wav
59,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_calm_angry.wav
60,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_kill_angry.wav
61,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_life_angry.wav
62,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_dodge_angry.wav
63,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_home_angry.wav
64,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_merge_angry.wav
65,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_hush_angry.wav
66,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_deep_angry.wav
67,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_back_angry.wav
68,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_lid_angry.wav
69,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_germ_angry.wav
70,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_hit_angry.wav
71,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_death_angry.wav
72,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_five_angry.wav
73,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_love_angry.wav
74,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_book_angry.wav
75,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_luck_angry.wav
76,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_came_angry.wav
77,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_far_angry.wav
78,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_loaf_angry.wav
79,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_name_angry.wav
80,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_jail_angry.wav
81,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_kite_angry.wav
82,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_check_angry.wav
83,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_fail_angry.wav
84,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_fall_angry.wav
85,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_chalk_angry.wav
86,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_chief_angry.wav
87,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_cause_angry.wav
88,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_burn_angry.wav
89,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_mess_angry.wav
90,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_hire_angry.wav
91,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_gas_angry.wav
92,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_keg_angry.wav
93,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_boat_angry.wav
94,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_join_angry.wav
95,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_learn_angry.wav
96,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_make_angry.wav
97,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_door_angry.wav
98,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_gun_angry.wav
99,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_kick_angry.wav
100,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_hurl_angry.wav
101,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_bean_angry.wav
102,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_fat_angry.wav
103,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_jug_angry.wav
104,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_mill_angry.wav
105,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_bite_angry.wav
106,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_goose_angry.wav
107,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_beg_angry.wav
108,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pad_angry.wav
109,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_dime_angry.wav
110,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_dip_angry.wav
111,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_dab_angry.wav
112,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_choice_angry.wav
113,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_lease_angry.wav
114,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_bath_angry.wav
115,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_ditch_angry.wav
116,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_when_angry.wav
117,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_time_angry.wav
118,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_should_angry.wav
119,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_road_angry.wav
120,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_walk_angry.wav
121,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_ring_angry.wav
122,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_sail_angry.wav
123,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_yearn_angry.wav
124,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_said_angry.wav
125,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_young_angry.wav
126,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_rough_angry.wav
127,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_reach_angry.wav
128,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_sour_angry.wav
129,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_south_angry.wav
130,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_talk_angry.wav
131,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_wash_angry.wav
132,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_thumb_angry.wav
133,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_tape_angry.wav
134,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_rain_angry.wav
135,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_white_angry.wav
136,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_read_angry.wav
137,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_tell_angry.wav
138,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_wife_angry.wav
139,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_soap_angry.wav
140,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_tool_angry.wav
141,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_shirt_angry.wav
142,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_rot_angry.wav
143,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_ton_angry.wav
144,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_tire_angry.wav
145,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pass_angry.wav
146,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_shall_angry.wav
147,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_seize_angry.wav
148,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_team_angry.wav
149,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_rat_angry.wav
150,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_take_angry.wav
151,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_sure_angry.wav
152,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_shawl_angry.wav
153,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_wheat_angry.wav
154,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_tough_angry.wav
155,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_week_angry.wav
156,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_ripe_angry.wav
157,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_vote_angry.wav
158,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_rag_angry.wav
159,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_voice_angry.wav
160,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_size_angry.wav
161,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_witch_angry.wav
162,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_sell_angry.wav
163,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_which_angry.wav
164,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pearl_angry.wav
165,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_raid_angry.wav
166,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_vine_angry.wav
167,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_sheep_angry.wav
168,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_such_angry.wav
169,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pain_angry.wav
170,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_third_angry.wav
171,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_youth_angry.wav
172,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_puff_angry.wav
173,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pick_angry.wav
174,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pike_angry.wav
175,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_wire_angry.wav
176,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_room_angry.wav
177,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_thin_angry.wav
178,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_shack_angry.wav
179,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_thought_angry.wav
180,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_red_angry.wav
181,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_soup_angry.wav
182,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_search_angry.wav
183,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_shout_angry.wav
184,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_rose_angry.wav
185,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_turn_angry.wav
186,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_wag_angry.wav
187,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_tip_angry.wav
188,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_perch_angry.wav
189,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_phone_angry.wav
190,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_void_angry.wav
191,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pool_angry.wav
192,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_raise_angry.wav
193,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_pole_angry.wav
194,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_sub_angry.wav
195,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_whip_angry.wav
196,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_peg_angry.wav
197,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_page_angry.wav
198,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_rush_angry.wav
199,angry,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_yes_angry.wav
200,happy,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_happy/OAF_fit_happy.wav
201,happy,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_happy/OAF_calm_happy.wav
202,happy,/content/drive/MyDrive/archivez/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_happy/OAF_dead_happy.wav
